age,gender,vehicle_age,vehicle_type,annual_mileage,accidents_history,traffic_violations,license_years,city_type,credit_score,anti_theft,multi_car,premium
56,male,4,suv,12056,1,3,38,rural,529,no,yes,2734
69,male,17,hatchback,33950,3,0,50,urban,395,no,no,3333
46,female,14,suv,7753,3,6,28,rural,738,no,yes,3548
32,female,5,sports,36941,3,3,14,rural,470,no,no,4490
60,male,18,suv,39140,2,1,42,rural,616,no,no,2595
25,female,0,hatchback,19234,0,7,7,rural,843,yes,no,2341
38,female,0,hatchback,14636,4,0,20,urban,790,no,yes,3169
56,female,12,sedan,8376,1,4,38,rural,687,yes,yes,1747
36,female,2,hatchback,35783,3,6,18,suburban,371,yes,no,3882
40,male,9,suv,46249,0,5,22,suburban,831,no,yes,2586
28,male,2,sedan,48025,1,0,10,suburban,538,no,no,2758
28,male,8,hatchback,21447,4,6,10,rural,388,no,yes,4157
41,female,7,hatchback,25329,4,7,23,suburban,834,yes,no,3864
70,female,2,sports,21713,3,7,50,urban,453,yes,no,5025
53,female,12,sedan,9858,4,0,35,rural,489,yes,yes,3231
57,female,5,sports,24472,4,1,39,rural,714,no,yes,4020
41,female,12,sports,21524,1,2,23,rural,453,no,no,3255
20,male,19,sports,9539,1,0,2,urban,638,yes,yes,2060
39,female,19,truck,23857,3,6,21,rural,816,yes,yes,3607
70,female,11,sports,43362,0,7,50,rural,334,no,yes,4071
19,male,12,suv,41671,3,2,1,suburban,825,yes,yes,3150
41,female,1,hatchback,10364,2,3,23,suburban,836,yes,yes,2465
61,male,15,truck,5449,4,5,43,rural,517,yes,no,3489
47,male,5,sports,25830,0,1,29,urban,553,yes,yes,2865
55,male,18,hatchback,26078,1,7,37,suburban,502,yes,yes,3262
19,male,12,sedan,42574,2,4,1,rural,400,yes,yes,3488
38,male,16,sedan,5869,2,7,20,suburban,660,yes,yes,2635
50,female,8,hatchback,43847,4,6,32,suburban,477,no,no,5353
29,male,16,suv,45075,1,6,11,urban,575,yes,yes,3772
39,male,1,hatchback,33140,0,6,21,rural,611,no,no,2307
61,female,18,hatchback,8659,1,0,43,suburban,709,no,yes,1750
42,female,18,truck,41370,4,5,24,rural,587,yes,no,4438
66,male,6,sedan,46352,2,5,48,urban,824,no,yes,3963
44,female,9,sedan,19385,4,2,26,urban,700,yes,yes,3379
59,female,9,sports,48751,3,0,41,suburban,516,no,yes,4313
45,male,19,hatchback,24337,2,6,27,urban,769,no,yes,3650
33,male,8,hatchback,10131,4,5,15,suburban,326,yes,no,3837
32,female,16,suv,6358,0,7,14,rural,721,no,yes,1903
64,male,14,sedan,30614,0,6,46,suburban,313,yes,no,2131
68,male,1,suv,21771,0,6,50,suburban,800,no,no,2837
61,female,3,truck,18603,3,6,43,urban,624,yes,yes,3634
72,male,18,sports,21246,1,1,50,rural,623,yes,no,2444
69,male,16,suv,22216,0,4,50,rural,584,no,no,2487
74,male,4,sedan,46209,3,3,50,suburban,388,yes,yes,3907
20,male,6,truck,47987,0,7,2,rural,344,yes,yes,3066
54,male,17,hatchback,47488,3,3,36,rural,797,no,yes,3379
68,female,6,truck,25577,0,2,50,suburban,797,yes,yes,2016
24,female,16,suv,47320,1,5,6,suburban,444,no,yes,3591
38,male,6,sedan,16301,4,3,20,rural,817,no,yes,3134
26,female,3,suv,14515,0,2,8,suburban,381,no,yes,1960
56,male,7,hatchback,31802,4,4,38,urban,466,yes,no,4586
35,male,12,hatchback,5891,0,6,17,rural,404,no,no,2523
21,male,3,sedan,26972,1,7,3,suburban,787,yes,yes,3056
42,male,5,sports,25932,4,7,24,rural,609,no,no,4603
31,male,4,truck,9192,3,0,13,rural,381,no,no,2976
67,female,11,truck,21128,0,1,49,urban,393,no,no,1987
26,female,3,hatchback,27836,0,4,8,urban,620,yes,yes,2301
43,male,8,suv,29837,3,4,25,rural,642,no,no,3689
70,female,3,suv,27778,1,3,50,urban,660,yes,yes,2594
19,male,18,sports,48130,2,3,1,suburban,365,yes,no,4256
37,female,13,suv,21708,0,1,19,rural,728,yes,yes,1839
45,male,4,truck,46945,3,7,27,urban,700,yes,no,4583
64,female,17,suv,29232,2,0,46,rural,470,yes,no,2656
24,male,9,sports,44412,0,4,6,rural,367,no,yes,3359
61,male,18,truck,9782,4,5,43,suburban,791,yes,no,3538
25,female,11,suv,31315,3,3,7,suburban,333,no,yes,3511
64,female,17,truck,15052,4,7,46,suburban,300,no,yes,4279
52,male,16,hatchback,24521,1,4,34,urban,450,yes,yes,3192
31,female,10,hatchback,8898,2,0,13,urban,557,no,no,2284
34,male,2,hatchback,22219,3,7,16,urban,318,no,no,4500
53,female,16,suv,9154,0,2,35,suburban,334,yes,yes,1557
67,female,0,sports,40546,0,0,49,rural,670,yes,yes,2357
57,male,14,truck,18809,2,4,39,suburban,790,no,yes,2650
21,female,8,sedan,30972,4,4,3,urban,540,yes,no,4407
19,female,14,hatchback,44177,4,1,1,urban,306,yes,no,3878
23,male,2,hatchback,17523,3,7,5,urban,848,no,yes,3910
71,female,18,sedan,42081,3,7,50,suburban,670,yes,no,3839
59,male,12,sedan,27030,4,7,41,urban,549,yes,no,4699
21,male,11,suv,45376,3,4,3,suburban,414,yes,yes,4297
71,male,19,truck,25105,4,7,50,rural,636,yes,yes,3792
46,male,0,hatchback,29295,2,7,28,suburban,441,yes,no,4017
35,male,16,sports,16864,3,3,17,urban,784,yes,yes,3622
43,female,12,suv,48982,4,5,25,rural,737,no,yes,4349
61,male,0,suv,17876,3,1,43,urban,387,yes,no,3469
51,male,9,sports,23055,0,4,33,rural,762,no,yes,2451
27,female,14,sports,38684,0,7,9,urban,347,no,yes,3800
53,female,6,sports,26972,1,0,35,suburban,780,no,no,2584
31,female,17,sedan,30493,4,4,13,urban,823,no,yes,4030
48,male,15,hatchback,14325,1,0,30,suburban,510,yes,no,1841
65,male,13,sedan,41775,4,0,47,suburban,543,no,yes,3818
32,male,17,hatchback,25373,3,4,14,rural,538,yes,no,3395
25,female,6,sedan,41253,4,0,7,suburban,496,no,no,3855
31,male,16,truck,26181,0,5,13,suburban,534,no,yes,2617
40,female,17,hatchback,15961,3,2,22,suburban,486,yes,yes,2686
74,male,11,suv,22705,0,1,50,rural,589,yes,yes,2152
57,female,7,hatchback,49676,3,4,39,urban,520,no,no,4819
38,male,1,hatchback,41122,4,6,20,urban,796,yes,no,4334
33,male,6,hatchback,31104,4,2,15,suburban,795,no,yes,3511
62,male,3,truck,18509,0,7,44,suburban,601,yes,yes,2451
35,female,17,sedan,12101,2,0,17,urban,486,yes,no,2348
64,female,5,suv,9743,4,0,46,suburban,749,no,yes,3458
70,male,8,sedan,13951,2,1,50,urban,711,yes,no,2566
41,male,8,sedan,12014,3,2,23,rural,544,no,yes,3427
43,male,13,sports,41180,2,2,25,suburban,612,yes,yes,3344
42,female,7,truck,46908,0,4,24,suburban,795,no,yes,2635
62,male,18,sports,48039,1,7,44,urban,321,no,no,4535
58,male,2,truck,13219,1,0,40,urban,367,no,yes,2411
46,male,17,sedan,12163,0,6,28,rural,691,yes,no,2000
32,male,4,sedan,7470,1,3,14,suburban,615,no,no,2084
62,female,13,truck,48498,0,7,44,urban,364,no,yes,3854
18,female,3,sedan,21543,4,6,0,rural,840,yes,yes,3851
42,male,6,sedan,24276,2,4,24,urban,511,no,no,3338
24,male,19,suv,41881,1,4,6,urban,499,no,yes,3311
26,female,11,sports,18414,4,4,8,rural,477,no,yes,4603
41,female,1,sports,12749,1,1,23,rural,722,yes,no,2003
18,male,10,sports,29182,3,1,0,rural,761,yes,yes,3332
61,female,13,hatchback,16914,0,7,43,rural,343,no,no,2775
25,female,15,suv,20007,0,4,7,rural,730,yes,no,2070
41,male,19,sports,35951,4,5,23,rural,467,no,no,4972
28,female,5,sports,49691,3,3,10,suburban,586,yes,no,4376
68,female,3,suv,37608,2,2,50,rural,636,no,no,3105
34,male,14,sedan,26383,3,2,16,suburban,470,no,yes,3183
25,male,0,sports,18042,3,0,7,urban,482,no,no,4001
52,female,6,sedan,30412,2,2,34,urban,315,yes,no,2917
52,male,11,sports,18181,2,6,34,rural,795,no,yes,3690
50,female,9,truck,49898,3,2,32,urban,409,no,no,4036
22,male,4,hatchback,8405,1,3,4,rural,605,yes,no,1906
59,female,11,sports,35868,1,2,41,rural,305,yes,yes,3416
56,male,17,truck,15862,3,6,38,suburban,572,no,yes,3409
58,female,9,suv,33688,1,3,40,urban,660,yes,yes,2933
45,female,5,truck,35945,2,1,27,rural,484,no,no,3150
24,female,11,suv,17939,2,3,6,urban,399,yes,no,3281
26,male,6,sports,33931,1,1,8,suburban,389,yes,no,3044
25,male,17,suv,43616,2,3,7,urban,545,no,yes,3548
29,female,1,truck,44585,0,4,11,suburban,538,no,no,2707
51,female,9,hatchback,43911,2,6,33,suburban,380,no,no,3722
50,male,14,sedan,47826,3,5,32,suburban,414,yes,no,4257
65,male,11,sedan,46164,4,7,47,rural,575,no,yes,5010
72,male,16,hatchback,27942,1,1,50,rural,379,yes,yes,2418
40,male,3,sedan,49539,1,1,22,urban,478,no,yes,2954
41,male,6,sports,10272,2,2,23,rural,608,no,yes,2913
54,male,8,sports,49134,2,1,36,rural,808,no,no,3709
52,female,18,truck,29265,4,3,34,urban,559,yes,no,3756
61,male,6,truck,33668,4,4,43,suburban,591,no,no,4281
57,female,1,suv,21024,3,4,39,suburban,590,yes,yes,3576
39,male,5,truck,36899,0,2,21,urban,841,no,no,2273
44,male,17,sports,8747,3,3,26,rural,362,no,no,3509
52,female,5,truck,14297,1,3,34,urban,704,yes,no,2497
18,female,12,sedan,6607,2,0,0,urban,779,yes,no,1975
52,male,18,suv,26458,3,7,34,rural,624,yes,yes,4027
54,female,1,suv,32973,2,1,36,urban,680,no,no,3253
64,female,11,sports,28117,2,2,46,rural,609,no,yes,3385
31,female,14,truck,21450,3,4,13,rural,642,yes,no,2862
20,female,13,sedan,20535,3,6,2,urban,774,no,yes,3395
18,male,5,truck,34355,4,5,0,suburban,355,yes,yes,4419
22,female,17,hatchback,12645,0,0,4,rural,724,yes,yes,1156
43,male,4,truck,47238,4,7,25,suburban,441,no,no,5190
