home_age,home_value,square_feet,location_risk,construction_type,security_system,smoke_detectors,flood_zone,roof_age,owner_age,claims_history,garage,premium
15,1338870,2652,high,steel,yes,no,yes,28,25,2,yes,4661
83,1037304,845,high,brick,yes,yes,yes,16,42,3,yes,4656
37,155132,1586,medium,brick,yes,yes,no,27,46,3,no,2740
70,1294339,1246,low,concrete,yes,yes,no,17,41,0,no,2594
44,733726,1043,high,wood,yes,no,no,19,31,2,no,3623
69,918020,5903,low,wood,yes,yes,no,25,39,1,no,3483
3,1287170,886,medium,steel,yes,no,yes,8,54,1,yes,3112
10,1472589,4907,high,steel,yes,no,no,10,74,1,no,3301
77,1246404,4208,medium,brick,yes,yes,yes,1,56,1,yes,4260
4,880712,5715,high,brick,yes,yes,yes,13,46,2,yes,3835
56,1006587,1448,medium,steel,no,yes,yes,14,24,1,yes,3791
40,1013836,2108,low,steel,yes,yes,no,0,72,2,yes,2564
33,563302,934,high,steel,yes,no,yes,0,71,1,yes,2766
98,334798,1486,high,brick,no,no,no,8,34,3,yes,3047
33,427889,4641,low,steel,no,no,no,11,56,2,yes,2432
60,489710,4867,high,brick,no,no,yes,16,46,1,no,3398
21,621085,1474,medium,wood,yes,no,yes,14,76,1,no,3237
69,715266,3166,high,wood,yes,no,no,3,39,0,no,3070
45,464388,4286,high,brick,yes,yes,no,4,72,1,no,2439
57,442459,1930,high,brick,no,no,no,13,51,3,yes,3169
77,1050447,2800,medium,brick,no,yes,yes,5,61,2,no,4196
40,303862,5182,low,brick,yes,no,no,5,67,0,yes,1365
81,1234025,2373,medium,concrete,no,no,no,18,51,1,no,3709
64,501624,2627,medium,wood,yes,yes,yes,22,79,1,yes,3663
10,283134,4353,high,wood,no,no,no,29,45,0,no,2690
74,280827,5106,high,concrete,no,no,yes,23,47,2,no,4255
66,1195084,2044,low,steel,yes,yes,no,0,22,3,yes,3170
85,1404270,5195,high,brick,yes,yes,yes,28,54,0,no,4325
65,275335,1167,medium,brick,yes,no,no,8,29,0,yes,1487
30,477893,2297,high,steel,no,no,yes,28,33,1,yes,3552
82,766023,5364,high,wood,yes,yes,yes,21,29,3,yes,5144
35,180752,3743,low,concrete,yes,no,no,0,32,2,no,1790
53,299620,1700,medium,brick,no,no,yes,26,35,2,yes,3603
39,348715,645,medium,wood,no,yes,no,24,39,3,no,3279
22,1077474,3452,low,wood,yes,no,no,3,65,0,no,2837
67,873496,3406,medium,wood,no,no,yes,24,61,3,no,5022
70,729010,2138,medium,concrete,yes,yes,no,15,22,0,no,2377
80,256249,3383,high,concrete,yes,yes,yes,25,42,1,no,3233
67,248765,1360,low,concrete,no,no,no,27,31,3,no,2662
75,1379323,5934,low,concrete,no,yes,no,4,58,3,no,4136
17,981169,2112,high,concrete,yes,no,no,15,50,1,no,3131
19,1343891,5950,low,concrete,no,no,no,21,67,0,yes,2988
60,912862,1260,low,steel,yes,yes,no,13,61,0,no,1990
72,493222,1297,high,wood,no,no,yes,8,45,3,yes,4522
78,1140571,1630,high,wood,no,no,yes,13,79,3,no,5388
90,366189,1424,medium,steel,yes,no,yes,15,65,2,no,3757
89,1346807,2939,medium,brick,yes,yes,no,29,57,0,no,3489
51,966802,1578,high,steel,yes,no,no,5,39,1,no,2837
48,501470,1903,low,brick,no,no,yes,16,36,0,no,2364
57,904183,3183,high,brick,no,no,yes,0,53,2,yes,4190
10,887018,5007,high,steel,yes,no,yes,17,59,2,yes,3476
32,966598,4396,high,steel,no,yes,no,10,64,3,no,3752
79,1473866,2324,medium,concrete,yes,no,no,10,66,2,no,4016
68,437127,3138,high,steel,yes,yes,yes,27,41,2,yes,4045
28,577623,5661,low,concrete,yes,no,no,11,55,2,yes,2454
4,1459607,2931,high,steel,no,yes,no,1,30,1,no,2984
61,218035,5943,high,steel,yes,yes,no,15,62,3,no,2961
77,1407327,4429,high,brick,no,no,yes,21,76,2,yes,5052
12,321141,5797,medium,steel,yes,no,no,9,55,1,yes,1768
15,714498,1156,low,brick,yes,no,no,25,56,3,yes,2621
29,115218,1722,low,concrete,yes,yes,no,20,78,3,no,2270
87,1271869,2715,medium,steel,no,no,no,13,77,1,no,3639
13,1208293,2725,medium,concrete,no,yes,yes,29,48,2,no,4067
38,492253,3817,medium,steel,no,no,yes,6,63,2,yes,3280
58,1138464,674,low,steel,no,yes,no,7,39,3,no,3199
35,1207705,1113,low,wood,no,no,yes,25,42,1,no,4063
40,599139,5689,high,steel,no,no,yes,9,39,3,no,4699
76,429112,5806,low,brick,no,no,no,9,48,1,no,2281
94,1278250,5461,medium,concrete,no,yes,no,9,52,2,no,3834
5,1128325,5761,low,wood,yes,no,yes,13,49,3,yes,4181
2,994522,4829,low,wood,no,yes,no,18,54,1,yes,2666
30,686404,3690,low,concrete,yes,no,no,8,78,0,no,1839
99,1258655,3339,low,concrete,no,yes,yes,16,36,0,no,4265
10,1390955,3476,high,wood,no,yes,no,18,66,1,no,4275
73,867900,2631,medium,steel,no,no,no,1,68,1,yes,2764
81,180481,3791,low,wood,yes,yes,yes,14,76,1,no,2940
38,1074472,4006,medium,steel,yes,yes,yes,5,57,0,yes,3357
59,975400,4590,medium,concrete,no,no,no,28,40,1,yes,3504
94,1018720,1130,low,steel,yes,yes,no,28,56,2,no,3442
35,644102,4765,high,steel,no,no,yes,27,53,0,no,3486
71,974025,1033,high,steel,yes,no,no,15,66,1,no,3325
12,503739,5908,high,brick,no,no,yes,16,60,0,no,3038
42,348025,2229,low,steel,yes,yes,yes,23,79,0,no,2473
98,1415388,4333,low,brick,yes,yes,no,27,78,0,no,3389
49,993109,4307,low,steel,yes,yes,no,9,33,2,yes,2817
67,1236186,3893,low,steel,yes,no,no,11,76,2,yes,3391
33,350829,666,low,brick,yes,yes,yes,25,50,3,no,2883
13,195454,3454,medium,steel,no,no,no,11,55,2,yes,2353
75,1379145,2878,medium,steel,no,yes,no,18,37,0,yes,3525
20,1343338,1267,low,brick,no,no,no,5,43,1,no,2425
95,489373,4568,high,brick,no,yes,no,1,29,3,no,3462
33,281413,749,medium,brick,yes,yes,no,20,76,0,no,1336
34,874712,1732,low,brick,yes,no,yes,17,33,1,yes,3163
50,713771,5514,low,steel,yes,yes,yes,6,55,3,yes,3590
50,772169,5310,medium,steel,no,yes,yes,4,37,3,yes,3844
